F_15;F_14;F_21;F_25;F_79;F_26;F_75;F_24;F_76;F_78;F_27;F_19;F_23;F_70;F_52;F_65;F_64;F_77;F_51;F_22;F_20;F_13;F_62;F_39;F_66;F_63;F_53;F_3;F_50;F_57;F_38;F_11;F_72;F_49;F_37;F_74;F_59;F_18;F_40;F_6;F_44;F_80;F_71;F_60;F_73;F_8;F_46;F_61;F_48;F_32;F_33;target
0.0152826898;0.0217327829;0.610296;0.0425064503;-0.110506;0.0412362495;-1.4771870000000007;0.65906;-0.121797;0.230267;0.252188;2.9167227592;-0.4019490616988688;-6.1;0.26779;0.254903;-0.037783;-0.149644;-0.0169589999999999;0.719993;6.0417330253;0.02155194007689;1.2869019999999995;0.010189;0.0062559999999999;-0.082988;-0.0131229999999999;4.83;-0.004878;-2.24;0.0516969999999999;0.0643351243628211;-29.8;0.6852160000000005;0.0093479999999999;0.0098782911502734;-10.349999999999994;1.041374659758151;0.0133869999999999;0.0729010224921099;0.5200000000000014;-0.2940829999999999;-0.0123663078589434;0.0299409353304746;0.0049530595805215;0.1421983765;-9.900000000000006;0.0109262414408031;-0.0206256414208091;-4.186674445494383;1.682829865005099;0
0.0152752523;0.0195670675;0.610978;0.0403488298;-0.1061619999999999;0.0425866738;-1.336297;0.661173;-0.1261419999999999;0.229511;0.24462;2.9884195493;0.5203567385124624;-4.960000000000001;0.269642;0.254804;-0.0455600000000001;-0.14447;-0.008636;0.7229599999999999;7.1758755901;0.0237082213686927;1.2494060000000005;0.004287;0.005291;-0.0836559999999999;-0.007027;4.83;0.002372;-1.950000000000001;0.0437949999999999;0.0667340931590379;-32.84;0.4632690000000004;0.0083469999999999;0.0121338282518051;-9.89;1.040453119746105;0.0115729999999999;0.071832329785023;1.3499999999999996;-0.273105;-0.0150879251738933;0.0291058312711982;0.0057804390449672;0.1661230039;-5.680000000000007;0.0105767286007634;-0.0229682544429499;-4.186674445494383;-2.1785642596709294;0
0.0128477599;0.0195118595;0.609028;0.0317692676;-0.087677;0.0421940343;-1.5860679999999991;0.685589;-0.1213259999999999;0.218351;0.247357;2.5489799801;-0.9634276833046961;-5.029999999999999;0.261419;0.242905;-0.0552969999999998;-0.1345479999999999;0.008188;0.7357040000000001;10.2537548867;0.024635240873549;0.7535230000000013;-0.0133059999999999;0.006532;-0.090951;0.017567;4.83;0.006812;-1.0199999999999996;0.0521850000000001;0.069878300786732;-40.06530000000001;0.1467660000000012;0.0076829999999999;0.0129918960367887;-17.6353;1.003623388320146;0.028946;0.0710024322696759;2.28;-0.270878;-0.0207190112351073;0.0322483346062363;0.0093146039541328;0.2008235893;-6.085300000000004;0.0085422458932715;-0.0250737426815946;-6.186674445494383;5.960413428383019;0
0.0128222108;0.0195153952;0.606985;0.0315326778;-0.086658;0.0421527232;-1.5392810000000008;0.693898;-0.146109;0.2137959999999999;0.236509;1.9107364053;0.7818548908853337;-4.109999999999999;0.2626169999999999;0.2394949999999999;-0.0491819999999999;-0.148658;0.0119160000000001;0.73961;8.6718403001;0.0253309851617296;0.3473410000000001;-0.018191;0.010398;-0.089511;0.026218;4.83;0.009808;-0.1799999999999997;0.0562279999999999;0.0716037256690869;-38.23;-0.0421420000000001;0.010464;0.0138917450409658;-10.240000000000007;0.9927835873106774;0.0374269999999999;0.0711069680152395;2.91;-0.2514079999999999;-0.0227075934672628;0.0327689155804494;0.0108732073950422;0.2249571012;-4.780000000000001;0.0073428066561307;-0.0257819492269159;-4.186674445494383;-3.2733718917544254;0
0.0123887255;0.0194807597;0.602482;0.0303085512;-0.0929240000000001;0.0406399757;-1.5332679999999996;0.686484;-0.152232;0.214393;0.252949;2.2254277059;0.07787521753245363;-5.3100000000000005;0.26157;0.239122;-0.059903;-0.157882;0.0011349999999999;0.7300809999999999;8.543790080299999;0.0262888577641449;0.7863769999999999;-0.0179639999999999;0.009399;-0.0940159999999999;0.0177439999999999;4.83;0.0094189999999999;-0.629999999999999;0.0383459999999998;0.0728160123426928;-35.480000000000004;0.0502260000000003;0.0034049999999999;0.0124316142339352;-8.89;1.017929486189599;0.0316659999999999;0.0697391711189004;3.42;-0.239175;-0.0316148467894395;0.0312835307844963;0.0110408521634279;0.2223132256;-3.719999999999999;0.0067530468242128;-0.0262430469167276;-4.186674445494383;-0.32603818318043976;0
0.0126158699;0.0164813945;0.600054;0.0301298396;-0.112244;0.0416967396;-1.5833969999999995;0.664676;-0.145953;0.213679;0.244187;2.295863864;0.9368383575809593;-5.269999999999998;0.261492;0.2393759999999999;-0.0758929999999999;-0.15512;-0.0055539999999998;0.723392;8.8819293303;0.0277738509864554;0.0195319999999998;-0.0118449999999999;-0.0346279999999999;-0.098157;-0.0036259999999999;4.83;0.0069909999999999;-2.519999999999998;0.031494;0.0737863471021769;-32.64;-0.0224209999999995;0.0030569999999999;0.0125029763851593;-11.100000000000009;0.9964031254000142;0.0126650000000001;0.0635002362064736;2.83;-0.258771;-0.0385265326800704;0.0344463445185625;0.0100971539584558;0.2482028371;-3.3500000000000085;0.0063966094089334;-0.0245213126278374;-4.186674445494383;-3.9222372112431314;0
0.0148409315;0.0140912303;0.59499;0.0300238371;-0.127825;0.0405655731;-1.4752029999999987;0.64835;-0.1500739999999999;0.2092309999999999;0.255152;2.151003944;0.2686168484546628;-5.49;0.258885;0.2392389999999999;-0.0797019999999999;-0.1559679999999998;-0.01593;0.710798;8.1854571884;0.0288775117709502;0.0676950000000005;-0.016048;-0.047302;-0.0972269999999999;-0.0199519999999999;4.83;0.0020999999999999;-2.950000000000001;0.0193909999999999;0.0743815037356419;-31.3;-0.077596999999999;-0.001398;0.0129762960026418;-13.72;0.9918534199378044;0.0012379999999999;0.0608030777904494;1.299999999999999;-0.249285;-0.0409485973390431;0.0363511590190717;0.0089541650645599;0.1662435721;-4.439999999999998;0.0062128208896037;-0.0223078168781302;-6.186674445494383;-1.6618449919636997;0
0.0149218019;0.0121588512;0.589942;0.0307515741;-0.1374809999999999;0.0389379884;-1.391534;0.64136;-0.1571219999999999;0.1985549999999999;0.262719;2.1271292149;-0.554147789749692;-5.4300000000000015;0.2496069999999999;0.2271339999999999;-0.0734059999999999;-0.1786569999999998;-0.0261909999999999;0.7011240000000001;7.3853855976;0.0295855523647228;-0.0387660000000007;-0.032594;-0.05093;-0.093476;-0.0269419999999999;4.83;-0.001138;-2.4800000000000004;0.0111910000000001;0.0735919544665309;-28.080000000000013;-0.1029780000000002;-0.011789;0.0131415045841903;-15.210000000000008;0.9871145736174805;-0.0043229999999999;0.0568381837599462;1.2400000000000002;-0.234104;-0.0459186340973303;0.0346390736134485;0.0058290218731014;0.1672920617;-5.590000000000003;0.0059928028821633;-0.0197811225016825;-5.186674445494383;2.874184180121922;0
0.0142616247;0.0103936586;0.590715;0.0324930057;-0.1339719999999998;0.0396111122;-1.4327560000000013;0.64414;-0.153857;0.2009089999999999;0.282201;2.1726613363;0.7273341701591991;-5.249999999999998;0.254113;0.2286449999999999;-0.069373;-0.1680289999999998;-0.0074829999999997;0.7042;7.2631864849;0.0302461485019375;0.0155149999999988;-0.032074;-0.0435459999999999;-0.095543;-0.0157159999999999;4.83;0.001699;-2.1500000000000004;-0.008864;0.0732177484954854;-29.14999999999999;-0.6155059999999999;-0.0232799999999999;0.0119497801595556;-18.64999999999999;0.9797420187157496;-0.0030689999999999;0.049120759129814;1.620000000000001;-0.205677;-0.0517497650789883;0.0319604523321768;0.0031302632467027;0.174719181;-6.47999999999999;0.0050869106602134;-0.0187549824408069;-3.1866744454943827;-2.317777213381183;0
0.0142625353;0.0104807595;0.604239;0.032695977;-0.139853;0.0472029801;-1.707884;0.638892;-0.1341069999999999;0.195719;0.261544;2.1963130624;-1.4517688151438097;-5.259999999999998;0.249309;0.224331;-0.0654529999999998;-0.1749309999999998;-0.0192829999999999;0.6983260000000001;7.3146290214;0.0298813809652432;-0.1936009999999992;-0.0334179999999999;-0.0437009999999999;-0.082667;-0.0190609999999999;-21.67;0.0150709999999999;-3.45;-0.014738;0.0717429260514449;-23.809999999999988;-0.7365999999999993;-0.0097559999999999;0.0107302242604497;-17.159999999999997;0.9593326331540264;-0.015448;0.0480967032904077;0.2599999999999998;-0.230656;-0.0458044212522683;0.0290269150777208;-0.0026628623865711;0.0771320648;-7.309999999999988;0.0048926582606622;-0.0202152785253654;-3.1866744454943827;4.626314583984437;0
0.0146698885;0.0105376053;0.603996;0.0303691213;-0.153296;0.0509289914;-2.096666000000001;0.621132;-0.1369139999999999;0.191794;0.285315;2.3183873897;-1.3078882889716175;-3.9300000000000015;0.248028;0.219335;-0.057725;-0.1729619999999999;-0.0184489999999999;0.7027190000000001;5.9754689203;0.0290305319321736;-0.8197880000000008;-0.034938;-0.063733;-0.077166;-0.0371289999999999;-21.67;-0.0061149999999999;-4.24;-0.0172739999999999;0.0709132995375411;-27.63000000000001;-1.1514060000000017;-0.0062999999999999;0.0091931653676137;-20.830000000000013;0.9229945578652012;-0.0379279999999999;0.0529521717243216;-1.2599999999999998;-0.211598;-0.0318196757134423;0.0267153120848856;-0.0073085226517115;0.0495603406;-10.64;0.0041234646794906;-0.0214420512752955;-6.186674445494383;8.091479054942079;0
